Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig,eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα,μδ,Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J1526+5724,15260767+5724484,152607.65+572448.5,,,West2008,15:26:08,57:24:49,231.53205,57.4135,M6,West2008,...,...,...,...,...,...,...,,,,,-17.2 ± 6.9,8.5 ± 14.5,,,,,,15.895 ± 0.070,15.462 ± 0.094,15.011 ± 0.116,14.884 ± 0.030,14.826 ± 0.050,12.797,,,,24.24 ± 1.03,23.04 ± 0.24,21.34 ± 0.06,19.17 ± 0.03,17.92 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1526+5447,15262018+5447521,152620.07+544752.2,,,West2008,15:26:20,54:47:52,231.58398,54.79777,M7,West2008,...,...,...,...,...,...,...,,,,,-92.1 ± 6.0,12.6 ± 11.0,,,,,,15.593 ± 0.054,14.885 ± 0.056,14.555 ± 0.081,14.309 ± 0.026,14.112 ± 0.032,13.665,,,,22.61 ± 0.40,22.49 ± 0.14,20.98 ± 0.05,18.63 ± 0.02,17.31 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1526-0152,15262801-0152064,152628.02-015206.8,,,West2008,15:26:28,-1:52:06,231.61673,-1.86845,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,12.0 ± 10.0,-40.3 ± 11.2,,,,,,14.004 ± 0.026,13.315 ± 0.020,12.872 ± 0.027,12.665 ± 0.025,12.456 ± 0.027,12.286 ± 0.353,,,,24.90 ± 1.08,22.28 ± 0.10,20.34 ± 0.03,17.72 ± 0.02,16.08 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1526+5421,15264349+5421279,,,,West2008,15:26:43,54:21:28,231.68118,54.35772,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.338 ± 0.106,15.710 ± 0.122,15.128 ± 0.143,,,,,,,25.60 ± 0.71,23.46 ± 0.39,21.59 ± 0.08,19.26 ± 0.02,17.99 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1526+5146,15264584+5146596,,,,West2008,15:26:46,51:46:59,231.69101,51.78314,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,15.892 ± 0.095,15.725 ± 0.173,15.125 ± 0.179,,,,,,,24.21 ± 1.05,22.60 ± 0.11,20.95 ± 0.05,19.04 ± 0.02,17.92 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1526-0122,15265235-0122142,152652.31-012215.4,,,West2008,15:26:52,-1:22:15,231.71808,-1.37077,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-52.1 ± 21.3,-104.2 ± 21.2,,,,,,16.081 ± 0.113,15.385 ± 0.113,15.376 ± 0.227,14.797 ± 0.036,14.676 ± 0.083,12.497,,,,24.45 ± 1.12,23.60 ± 0.29,21.63 ± 0.08,19.27 ± 0.03,17.96 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1526+4045,15265368+4045046,152653.66+404505.2,,,West2008,15:26:54,40:45:05,231.72369,40.75144,M6,West2008,...,...,...,...,...,...,...,,,,,-16.7 ± 14.5,48.5 ± 22.2,,,,,,16.298 ± 0.096,15.812 ± 0.152,15.370 ± 0.179,15.121 ± 0.030,14.876 ± 0.045,13.562,,,,23.89 ± 0.86,22.86 ± 0.15,20.99 ± 0.05,19.10 ± 0.03,17.92 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1526-0146,15265403-0146557,152654.05-014655.9,,,West2008,15:26:54,-1:46:56,231.72519,-1.78215,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,20.6 ± 20.1,-16.8 ± 21.7,,,,,,15.876 ± 0.094,15.292 ± 0.103,15.030 ± 0.158,14.818 ± 0.042,14.525 ± 0.076,12.64,,,,23.32 ± 0.62,22.61 ± 0.13,20.84 ± 0.04,18.83 ± 0.02,17.70 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1526+4852,15265605+4852298,152656.06+485230.5,,,West2008,15:26:56,48:52:30,231.73372,48.87493,M7,West2008,...,...,...,...,...,...,...,,,,,10.6 ± 10.3,57.1 ± 23.7,,,,,,16.287 ± 0.127,15.505 ± 0.123,15.337 ± 0.206,14.965 ± 0.030,14.618 ± 0.043,13.093,,,,24.76 ± 1.46,23.51 ± 0.33,22.03 ± 0.14,19.57 ± 0.03,18.07 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1527+3335,15270236+3335284,152702.40+333528.2,,,West2008,15:27:02,33:35:28,231.76006,33.59124,M6,West2008,...,...,...,...,...,...,...,,,,,42.4 ± 15.3,-17.4 ± 21.5,,,,,,16.518 ± 0.119,15.765 ± 0.145,15.472 ± 0.162,15.220 ± 0.035,15.113 ± 0.066,13.309,,,,24.79 ± 0.94,23.24 ± 0.16,21.56 ± 0.06,19.38 ± 0.02,18.13 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1527+5004,15270536+5004490,,,,West2008,15:27:05,50:04:49,231.77239,50.08014,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.313 ± 0.124,15.534 ± 0.142,15.165 ± 0.192,,,,,,,23.34 ± 0.88,22.46 ± 0.12,20.83 ± 0.05,18.97 ± 0.03,17.94 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1527+3813,15270879+3813386,152708.78+381338.2,,,West2008,15:27:09,38:13:38,231.7866,38.2273,M6,West2008,...,...,...,...,...,...,...,,,,,-9.5 ± 8.2,-31.6 ± 11.2,,,,,,15.467 ± 0.050,14.946 ± 0.067,14.581 ± 0.089,14.392 ± 0.026,14.200 ± 0.038,13.416,,,,23.17 ± 0.62,22.56 ± 0.14,20.97 ± 0.06,18.62 ± 0.03,17.34 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1527+5235,15271843+5235261,152718.37+523525.9,,,West2008,15:27:18,52:35:26,231.82672,52.59063,M6,West2008,...,...,...,...,...,...,...,,,,,-49.9 ± 10.1,-15.7 ± 26.0,,,,,,16.165 ± 0.131,>15.831,>15.07,15.062 ± 0.032,14.792 ± 0.050,12.753,,,,23.70 ± 0.78,22.50 ± 0.12,20.98 ± 0.05,19.06 ± 0.02,17.95 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1527+4130,15271929+4130449,,,,,15:27:19,41:30:45,231.83038,41.512474,M6.5,Cruz2003,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1527+5119,15272871+5119546,152728.67+511955.0,,,West2008,15:27:34,51:19:26,231.89033,51.32377,M6,West2008,...,...,...,...,...,...,...,,,,,-32.1 ± 6.7,37.3 ± 12.5,,,,,,15.306 ± 0.057,14.662 ± 0.069,14.518 ± 0.113,14.306 ± 0.026,14.286 ± 0.035,13.632,,,,23.97 ± 0.82,23.09 ± 0.21,21.27 ± 0.05,19.24 ± 0.02,18.13 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1527+3618,15273714+3618325,,,,West2008,15:27:37,36:18:32,231.90476,36.30898,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.608 ± 0.123,16.018 ± 0.174,15.296 ± 0.168,,,,,,,23.49 ± 0.53,23.05 ± 0.15,21.37 ± 0.05,19.34 ± 0.03,18.31 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1527+4153,15273727+4153304,,,,West2008,15:27:37,41:53:30,231.90533,41.89172,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,15.849 ± 0.071,15.353 ± 0.100,14.785 ± 0.106,,,,,,,23.33 ± 0.64,22.56 ± 0.10,20.81 ± 0.04,18.77 ± 0.02,17.65 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1527+4119,15274026+4119222,152740.26+411922.8,,,West2008,15:27:40,41:19:22,231.91773,41.32287,M6,West2008,...,...,...,...,...,...,...,,,,,0.1 ± 13.7,55.1 ± 24.2,,,,,,16.507 ± 0.108,16.284 ± 0.217,>15.391,15.603 ± 0.035,15.311 ± 0.063,13.148,,,,25.42 ± 0.77,23.14 ± 0.17,21.69 ± 0.07,19.38 ± 0.03,18.27 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1527+4703,15275735+4703166,,,,West2008,15:27:57,47:03:17,231.98882,47.0546,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.173 ± 0.074,15.722 ± 0.119,15.115 ± 0.154,,,,,,,24.54 ± 0.91,22.67 ± 0.10,21.12 ± 0.04,19.08 ± 0.02,17.95 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1528+3610,15280032+3610450,152800.32+361044.7,,,West2008,15:28:00,36:10:45,232.00135,36.17915,M7,West2008,...,...,...,...,...,...,...,,,,,3.5 ± 20.3,-20.7 ± 27.9,,,,,,16.612 ± 0.123,15.779 ± 0.130,15.682 ± 0.222,15.226 ± 0.034,15.051 ± 0.063,13.332,,,,23.57 ± 0.38,24.41 ± 0.39,22.71 ± 0.16,19.84 ± 0.03,18.32 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1528+4521,15280734+4521043,152807.28+452104.3,,,West2008,15:28:07,45:21:04,232.03048,45.35118,M7,West2008,...,...,...,...,...,...,...,,,,,-53.8 ± 4.2,-2.1 ± 7.1,,,,,,14.888 ± 0.029,14.267 ± 0.038,13.849 ± 0.051,13.667 ± 0.024,13.474 ± 0.028,13.517,,,,25.21 ± 1.36,22.61 ± 0.15,20.86 ± 0.05,18.31 ± 0.02,16.89 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1528+5737,15281214+5737123,152812.11+573712.7,,,West2008,15:28:12,57:37:12,232.05046,57.62003,M8,West2008,...,...,...,...,...,...,...,,,,,-20.5 ± 6.9,35.7 ± 15.6,,,,,,16.241 ± 0.092,15.462 ± 0.101,14.882 ± 0.114,14.797 ± 0.030,14.628 ± 0.045,13.53,,,,24.68 ± 1.44,23.70 ± 0.29,22.15 ± 0.12,19.64 ± 0.02,18.04 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1528-0133,15282585-0133065,152825.83-013306.6,,,West2008,15:28:26,-1:33:06,232.1077,-1.55178,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-33.0 ± 21.7,-3.8 ± 22.2,,,,,,16.210 ± 0.129,15.375 ± 0.093,15.156 ± 0.158,14.904 ± 0.040,14.698 ± 0.080,12.643,,,,23.62 ± 0.67,23.24 ± 0.18,21.48 ± 0.05,19.28 ± 0.02,17.95 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1528+5918,15282955+5918170,152829.50+591817.1,,,West2008,15:28:30,59:18:17,232.12296,59.30475,M6,West2008,...,...,...,...,...,...,...,,,,,-35.0 ± 11.6,5.6 ± 28.7,,,,,,16.708 ± 0.137,16.284 ± 0.209,>15.212,15.671 ± 0.043,15.433 ± 0.083,13.176 ± 0.446,,,,25.69 ± 0.77,22.80 ± 0.16,21.38 ± 0.07,19.48 ± 0.02,18.38 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1528+4907,15283910+4907038,152839.05+490704.3,,,West2008,15:28:39,49:07:04,232.16293,49.11778,M7,West2008,...,...,...,...,...,...,...,,,,,-52.4 ± 9.1,50.8 ± 15.5,,,,,,15.925 ± 0.077,15.193 ± 0.100,14.990 ± 0.122,14.927 ± 0.029,14.713 ± 0.046,13.577,,,,24.79 ± 1.08,23.22 ± 0.16,21.78 ± 0.07,19.11 ± 0.02,17.68 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1528+5528,15284218+5528178,,,,West2008,15:28:42,55:28:17,232.1759,55.47151,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.732 ± 0.144,16.146 ± 0.168,15.636 ± 0.188,,,,,,,25.02 ± 0.71,22.86 ± 0.13,21.40 ± 0.06,19.44 ± 0.03,18.36 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1528+4918,15285268+4918291,152852.70+491829.1,,,West2008,15:28:53,49:18:29,232.21965,49.30807,M7,West2008,...,...,...,...,...,...,...,,,,,20.4 ± 13.3,1.4 ± 27.1,,,,,,16.461 ± 0.150,15.685 ± 0.166,>14.713,15.264 ± 0.032,15.084 ± 0.056,13.562,,,,24.78 ± 1.21,23.16 ± 0.21,21.47 ± 0.09,19.28 ± 0.02,18.09 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1528+4808,15285395+4808169,,,,West2008,15:28:54,48:08:18,232.22477,48.13822,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.658 ± 0.173,15.651 ± 0.156,15.291 ± 0.195,,,,,,,22.80 ± 0.38,23.14 ± 0.15,21.51 ± 0.06,19.44 ± 0.02,18.40 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+3416,15290033+3416248,152900.36+341625.1,,,West2008,15:29:00,34:16:25,232.2516,34.27356,M6,West2008,...,...,...,...,...,...,...,,,,,28.5 ± 20.2,26.2 ± 27.4,,,,,,16.767 ± 0.144,15.875 ± 0.146,>15.719,15.662 ± 0.042,15.636 ± 0.097,13.352,,,,24.50 ± 0.87,22.87 ± 0.11,21.39 ± 0.05,19.50 ± 0.02,18.45 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+3451,15291011+3451301,152910.05+345130.4,,,West2008,15:29:10,34:51:30,232.29202,34.85839,M6,West2008,...,...,...,...,...,...,...,,,,,-66.7 ± 11.9,22.9 ± 16.5,,,,,,16.036 ± 0.080,15.421 ± 0.096,15.090 ± 0.114,15.062 ± 0.033,14.916 ± 0.060,13.341,,,,24.97 ± 0.73,22.42 ± 0.09,20.92 ± 0.04,18.72 ± 0.01,17.61 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+5029,15291235+5029072,152912.35+502906.8,,,West2008,15:29:12,50:29:07,232.30151,50.48529,M6,West2008,...,...,...,...,...,...,...,,,,,-2.6 ± 14.3,-33.2 ± 30.9,,,,,,16.465 ± 0.134,15.912 ± 0.178,>15.567,15.463 ± 0.035,15.393 ± 0.066,13.356,,,,23.80 ± 0.67,23.08 ± 0.15,21.41 ± 0.05,19.42 ± 0.02,18.30 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+5302,15291458+5302256,152914.58+530225.5,,,West2008,15:29:15,53:02:26,232.31078,53.04044,M6,West2008,...,...,...,...,...,...,...,,,,,-2.7 ± 7.7,-10.6 ± 18.0,,,,,,15.838 ± 0.066,15.023 ± 0.076,14.876 ± 0.134,14.842 ± 0.031,14.627 ± 0.046,13.304,,,,24.73 ± 0.98,22.12 ± 0.08,20.70 ± 0.04,18.70 ± 0.01,17.62 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529-0157,15291640-0157340,152916.36-015734.9,,,West2008,15:29:16,-1:57:34,232.31829,-1.95943,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-66.9 ± 23.7,-87.0 ± 25.9,,,,,,16.084 ± 0.114,15.649 ± 0.133,15.110 ± 0.172,14.972 ± 0.039,14.779 ± 0.085,12.703,,,,25.37 ± 0.71,24.19 ± 0.38,22.68 ± 0.15,19.50 ± 0.02,17.87 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+4356,15291860+4356213,152918.62+435621.3,,,West2008,15:29:19,43:56:21,232.32751,43.93927,M6,West2008,...,...,...,...,...,...,...,,,,,21.8 ± 13.6,1.3 ± 21.3,,,,,,16.221 ± 0.086,15.575 ± 0.097,15.148 ± 0.160,15.108 ± 0.030,14.850 ± 0.048,13.329,,,,23.46 ± 0.66,22.73 ± 0.14,21.18 ± 0.05,19.01 ± 0.02,17.85 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+3406,15292306+3406197,152923.04+340618.9,,,West2008,15:29:23,34:06:19,232.34606,34.10536,M7,West2008,...,...,...,...,...,...,...,,,,,-25.2 ± 10.4,-64.9 ± 13.6,,,,,,15.935 ± 0.074,15.338 ± 0.093,15.223 ± 0.132,14.749 ± 0.030,14.554 ± 0.048,13.152,,,,24.98 ± 0.98,23.66 ± 0.27,22.33 ± 0.14,19.51 ± 0.02,17.93 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529-0231,15292567-0231507,152925.62-023150.4,,,West2008,15:29:26,-2:31:51,232.35688,-2.53083,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-73.4 ± 30.8,32.5 ± 30.1,,,,,,16.456 ± 0.151,15.764 ± 0.148,15.314 ± 0.209,15.086 ± 0.044,14.926 ± 0.091,12.649,,,,25.42 ± 0.90,24.66 ± 0.53,23.02 ± 0.22,20.05 ± 0.02,18.28 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+5227,15293479+5227109,,,,West2008,15:29:35,52:27:11,232.395,52.45299,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,15.908 ± 0.074,15.363 ± 0.105,14.874 ± 0.135,,,,,,,23.23 ± 0.55,22.24 ± 0.08,20.82 ± 0.04,18.74 ± 0.03,17.62 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+3445,15294977+3445412,152949.74+344541.4,,,West2008,15:29:51,34:45:30,232.4622,34.75837,M6,West2008,...,...,...,...,...,...,...,,,,,-24.8 ± 14.4,19.9 ± 19.9,,,,,,16.433 ± 0.122,15.383 ± 0.110,15.351 ± 0.152,15.105 ± 0.032,14.963 ± 0.059,12.913,,,,24.84 ± 0.73,22.99 ± 0.14,21.21 ± 0.04,18.85 ± 0.02,17.58 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529-0206,15295457-0206044,152954.58-020604.3,,,West2008,15:29:55,-2:06:04,232.47742,-2.10124,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,19.2 ± 14.2,7.8 ± 14.7,,,,,,15.466 ± 0.056,14.791 ± 0.055,14.407 ± 0.086,14.264 ± 0.031,14.112 ± 0.052,12.604,,,,24.00 ± 0.78,22.43 ± 0.09,20.73 ± 0.03,18.50 ± 0.01,17.21 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+4150,15295557+4150168,152955.49+415017.3,,,West2008,15:29:56,41:50:17,232.48143,41.83807,M7,West2008,...,...,...,...,...,...,...,,,,,-76.1 ± 6.2,39.9 ± 9.7,,,,,,14.562 ± 0.028,13.990 ± 0.035,13.569 ± 0.040,13.390 ± 0.024,13.166 ± 0.024,13.157,,,,24.15 ± 1.00,22.07 ± 0.06,20.44 ± 0.03,17.94 ± 0.02,16.53 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+5535,15295790+5535463,152957.91+553545.6,,,West2008,15:29:58,55:35:46,232.4913,55.59616,M6,West2008,...,...,...,...,...,...,...,,,,,11.6 ± 9.5,-61.8 ± 24.4,,,,,,16.560 ± 0.128,15.913 ± 0.140,>16.289,15.455 ± 0.034,15.302 ± 0.062,13.246,,,,25.01 ± 1.02,22.51 ± 0.13,21.09 ± 0.05,19.17 ± 0.02,18.13 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+3652,15295803+3652293,152958.00+365228.4,,,West2008,15:29:58,36:52:29,232.49178,36.87471,M6,West2008,...,...,...,...,...,...,...,,,,,-29.5 ± 9.2,-70.2 ± 12.3,,,,,,15.838 ± 0.058,15.135 ± 0.068,14.775 ± 0.105,14.647 ± 0.029,14.444 ± 0.044,12.911,,,,23.14 ± 0.45,22.18 ± 0.06,20.68 ± 0.03,18.58 ± 0.01,17.43 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1529+4801,15295872+4801130,152958.75+480112.9,,,West2008,15:29:59,48:01:13,232.49481,48.02041,M6,West2008,...,...,...,...,...,...,...,,,,,24.7 ± 15.8,-9.8 ± 31.3,,,,,,16.685 ± 0.166,16.058 ± 0.206,>16.488,15.735 ± 0.038,15.465 ± 0.071,13.173,,,,25.38 ± 0.83,22.91 ± 0.12,21.55 ± 0.06,19.48 ± 0.02,18.39 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530+4230,15300134+4230081,153001.36+423008.1,,,West2008,15:30:01,42:30:08,232.50565,42.50223,M6,West2008,...,...,...,...,...,...,...,,,,,26.6 ± 10.8,-6.9 ± 22.4,,,,,,16.187 ± 0.085,15.509 ± 0.085,15.199 ± 0.169,15.147 ± 0.029,15.003 ± 0.049,13.709,,,,24.38 ± 1.24,22.50 ± 0.10,20.94 ± 0.05,19.01 ± 0.02,17.93 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530+4929,15300397+4929385,153003.92+492938.4,,,West2008,15:30:04,49:29:38,232.51646,49.494,M6,West2008,...,...,...,...,...,...,...,,,,,-47.4 ± 7.5,-9.3 ± 14.4,,,,,,15.765 ± 0.066,15.271 ± 0.095,14.972 ± 0.140,14.620 ± 0.027,14.491 ± 0.039,13.2,,,,25.50 ± 1.09,22.19 ± 0.09,20.93 ± 0.05,18.57 ± 0.02,17.38 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530+4402,15301040+4402138,153010.42+440213.0,,,West2008,15:30:10,44:02:14,232.54336,44.03711,M7,West2008,...,...,...,...,...,...,...,,,,,16.5 ± 17.6,-60.5 ± 32.6,,,,,,16.530 ± 0.116,16.181 ± 0.177,15.629 ± 0.242,15.427 ± 0.034,15.280 ± 0.065,13.586,,,,23.55 ± 0.87,24.33 ± 0.52,23.21 ± 0.38,20.17 ± 0.04,18.66 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530-0222,15303081-0222001,153030.80-022200.1,,,West2008,15:30:31,-2:22:00,232.62835,-2.36674,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-18.8 ± 7.1,0.1 ± 7.2,,,,,,14.506 ± 0.031,13.818 ± 0.039,13.458 ± 0.042,13.228 ± 0.025,13.036 ± 0.030,12.268 ± 0.358,,,,25.15 ± 1.05,22.34 ± 0.09,20.65 ± 0.03,17.98 ± 0.01,16.41 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530+4416,15303686+4416370,153036.91+441637.0,,,West2008,15:30:37,44:16:37,232.65366,44.27695,M8,West2008,...,...,...,...,...,...,...,,,,,47.5 ± 4.4,-3.2 ± 7.3,,,,,,15.715 ± 0.054,15.036 ± 0.062,14.569 ± 0.095,14.223 ± 0.026,13.932 ± 0.031,12.931,,,,24.24 ± 1.17,25.75 ± 0.57,23.03 ± 0.26,19.60 ± 0.02,17.81 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530+3027,15303823+3027153,153038.13+302715.1,,,West2008,15:30:38,30:27:15,232.65905,30.45416,M9,West2008,...,...,...,...,...,...,...,,,,,-109.1 ± 8.3,-18.4 ± 11.8,,,,,,15.461 ± 0.049,14.634 ± 0.057,14.349 ± 0.057,13.939 ± 0.025,13.719 ± 0.031,12.568,,,,21.96 ± 0.23,22.86 ± 0.16,21.56 ± 0.07,19.39 ± 0.02,17.75 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530+5006,15304308+5006025,153043.04+500602.5,,,West2008,15:30:43,50:06:02,232.67945,50.10069,M6,West2008,...,...,...,...,...,...,...,,,,,-33.3 ± 9.0,0.4 ± 18.4,,,,,,16.009 ± 0.077,15.373 ± 0.094,15.352 ± 0.216,14.879 ± 0.029,14.716 ± 0.045,12.841,,,,23.36 ± 0.71,22.98 ± 0.18,21.22 ± 0.07,18.99 ± 0.03,17.75 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530+3043,15304467+3043109,153044.69+304310.6,,,West2008,15:30:45,30:43:11,232.68618,30.71967,M6,West2008,...,...,...,...,...,...,...,,,,,22.9 ± 9.2,-23.3 ± 12.6,,,,,,15.523 ± 0.050,15.160 ± 0.071,14.678 ± 0.077,14.399 ± 0.028,14.227 ± 0.039,13.245,,,,25.25 ± 0.78,22.12 ± 0.06,20.64 ± 0.03,18.39 ± 0.02,17.12 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530+0256,15305643+0256518,153056.36+025650.9,,,West2008,15:30:56,2:56:52,232.73514,2.94775,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-98.8 ± 20.6,-90.1 ± 19.4,,,,,,15.881 ± 0.061,15.292 ± 0.087,14.963 ± 0.125,14.778 ± 0.035,14.542 ± 0.067,12.765,,,,25.78 ± 0.80,23.05 ± 0.24,21.60 ± 0.08,18.99 ± 0.02,17.63 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530+4658,15305895+4658497,153058.97+465849.0,,,West2008,15:30:59,46:58:49,232.7458,46.98037,M6,West2008,...,...,...,...,...,...,...,,,,,18.7 ± 14.2,-55.6 ± 27.0,,,,,,16.582 ± 0.118,15.860 ± 0.132,15.378 ± 0.195,15.291 ± 0.032,15.118 ± 0.057,13.557,,,,22.86 ± 0.52,22.73 ± 0.14,21.06 ± 0.04,19.16 ± 0.03,18.07 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1530+3747,15305912+3747509,,,,West2008,15:30:59,37:47:51,232.74628,37.79747,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.202 ± 0.084,15.456 ± 0.096,14.822 ± 0.102,,,,,,,22.75 ± 0.45,22.65 ± 0.13,21.11 ± 0.05,18.95 ± 0.02,17.78 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
