Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig (pc),eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα (mas/yr),μδ (mas/yr),Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0021-4244,00210589-4244433,002106.13-424443.3,,LEHPM 1-494 B  ; DENIS-P J0021.0-4244 ; Koenigstuhl 1 B,Basri2000,0:21:06,-42:44:43,5.2745417,-42.745361,M9.5,Basri2000,...,...,Companion,Caballero2007,...,...,...,25.14,1.33,1.33,Dieterich2014,248.4 ± 6.4,0.7 ± 9.2,,,,3.7 ± 0.4,Guenther2003;Galvez_Ortiz2010,13.521 ± 0.022,12.809 ± 0.023,12.304 ± 0.023,11.898 ± 0.024,11.599 ± 0.022,11.270 ± 0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0021+0026,00213884+0026058,002138.92+002605.2,002138.86+002605.8,,Scholz2009,0:21:39,0:26:06,5.4118335,0.434944,L1.5,Scholz2009,...,...,...,...,...,...,...,...,...,...,...,112.5 ± 49.3,-58.7 ± 48.2,161.32 ± 11.77,-84.69 ± 10.86,Scholz2009,...,...,16.953 ± 0.157,> 16.288,16.080 ± 0.235,15.828 ± 0.067,15.352 ± 0.135,> 12.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0022-0110,00220932-0110399,002209.39-011039.3,00220934-0110397,,West2008,0:22:09,-1:10:40,5.538792,-1.17784,L0,West2008,M9,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,117.5 ± 18.4,67.8 ± 19.3,,,,-30.3 ± 41.0,Schmidt2010;West2008,15.816 ± 0.065,15.087 ± 0.080,14.699 ± 0.101,14.329 ± 0.031,14.029 ± 0.058,12.358 ± 0.437,,,,25.59 ± 0.88,24.13 ± 0.60,22.63 ± 0.19,19.76 ± 0.04,18.01 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0024+1347,...,,,ULAS J002406+134705,Day-Jones2013,0:24:06,13:47:05,6.025,13.784722,...,...,L3,Day-Jones2013,...,...,...,...,...,...,...,...,...,,,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0024+0022,...,,,ULAS J002422.94+002247.9,Lodieu2007,0:24:23,0:22:48,6.0955833,0.37997222,...,...,T4.5,Lodieu2007,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,19.59 ± 0.15,Lodieu2007,18.16 ± 0.07,Lodieu2007,18.24 ± 0.16,Lodieu2007,> 18.05,Lodieu2007,,,,,,,,,,,,,X,
J0024-0158,00242463-0158201,002424.58-015818.4,,BRI 0021-0214,Irwin1991,0:24:25,-1:58:17,6.10475,-1.9712778,M9.5,Cruz2007,L0.5,Bardalez-Gagliuffi2014,...,...,...,...,...,11.55,0.53,0.53,Tinney1995,-71.6 ± 8.6,145.6 ± 7.9,-80.40 ± 3.83,132.75 ± 5.81,Dupuy2012,...,...,11.992 ± 0.033,11.084 ± 0.020,10.539 ± 0.021,10.166 ± 0.024,9.900 ± 0.019,9.412 ± 0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0025+4759,00250365+4759191,002504.03+475918.2,,2MUCD 13016,Cruz2007,0:25:04,47:59:19,6.2652083,47.988639,L4:,Cruz2007,...,...,Young(?) ; Binary,Cruz2007 ; Reid2006,...,...,...,43.82,1.69,1.69,VanLeeuwen2007,327.2 ± 8.8,-83.3 ± 8.9,311.81 ± 39.01,-10.89 ± 43.56,Cruz2007,...,...,14.840 ± 0.036,13.667 ± 0.030,12.902 ± 0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Binary: a=0.33'' @ -126.9 deg (Reid et al. 2006). This object shares a common proper motion with HD 2057; which is 3.6' away. (Cruz et al. 2007)
J0026-0943,00261147-0943406,002611.29-094342.3,002611.45-094341.1,,Schmidt2010,0:26:11,-9:43:41,6.5477085,-9.728083,L1,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-218.4 ± 13.2,-143.2 ± 14.4,...,...,,-20.7 ± 3.1,Schmidt2010,15.601 ± 0.067,14.999 ± 0.081,14.379 ± 0.073,14.026 ± 0.030,13.832 ± 0.053,> 11.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0027+0102,00275815+0102246,002758.12+010225.0,002800.37+010252.0,,Scholz2009,0:28:00,1:02:52,7.001541,1.047778,L0,Scholz2009,...,...,...,...,...,...,...,...,...,...,...,-37.1 ± 32.8,41.0 ± 32.4,164.36 ± 25.07,10.63 ± 15.57,Scholz2009,...,...,16.273 ± 0.105,15.713 ± 0.149,15.302 ± 0.152,15.325 ± 0.050,15.113 ± 0.111,> 12.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0028+1423,...,,,ULAS J002828+142349,Day-Jones2013,0:28:28,14:23:49,7.1166667,14.396944,...,...,L8.5,Day-Jones2013,...,...,...,...,...,...,...,...,...,,,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
